,C-reactive protein,Neutrophill count,Neutrophill percentage,Monocyte count,Monocyte percentage,Basophill count,Basophill percentage,Eosinophill count,Eosinophill percentage,Urea,Urate,Mean platelet volume,Mean corpuscular haemoglobin concentration,Mean corpuscular haemoglobin,Total bilirubin,Total protein,Lymphocyte count,Lymphocyte percentage,Leukocyte count,Albumin,Direct bilirubin,Alkaline phosphatase,Phosphate,Erythrocyte count,Erythrocyte distribution width,Haematocrit percentage,Mean corpuscular volume,Creatinine,Cystatin C,Glucose,Platelet count,Platelet distribution width,Platelet crit,Haemoglobin concentration,Alanine aminotransferase,Glutamyltransferase,Aspartate aminotransferase,Calcium,Sex,Age
ACSL1,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
ITGA2,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAPLN1,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
HSPA1B,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNXB,6.9858462487383495,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.7613610807804703,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,10.126532959121514,-0.0,0.0,1.4203026880339387,0.0,0.0,19.026730410346865,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-4.307127786014622,-8.42868340651508,-0.0,0.0,0.0
COL11A2,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-69.50796959160832,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,7.672681224160983,0.0,0.0,0.0,0.0,-0.0,40.3846873834383,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
ITGB8,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
SERPINE1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,5.4815171566197485,0.0,0.0,0.2877560777884827,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,2.084270027472718
CSGALNACT1,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
CLU,701.6778531658898,-0.0,664.4019728602134,-673.4090342421488,-0.0,0.0,1178.9748990570838,-1139.0764335030588,-0.0,-495.21347588935384,65.49841253266493,-507.52595550122794,179.25837762825316,-0.0,179.8978243559964,1142.7115124548902,-0.0,0.0,-197.31687488506788,-2505.593051348177,119.82648063899231,251.79943032677733,322.77396805276646,-728.927482047154,-727.3775210630091,0.0,-57.25329450704733,847.4396485587746,0.0,751.8602018883194,-0.0,-347.7064169077704,-114.94008303079472,2675.95956545393,-100.16076618885961,-863.4110288457207,0.0,-1200.9642102513474,264.9886842633189,-1251.888391507052
